alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
IRQ,"['Arabic', 'Aramaic', 'Sorani']",46118793,81.7291,2023,,,,7.663877932614442,0.817291,,5.334453751150931,0.5,False,33.412982986654654,16.706491493327327,33.412982986654654,33.412982986654654,48,False,Iraq,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
AZE,['Azerbaijani'],10241722,89.0,2023,,,,7.010372983224158,0.89,,5.334453751150931,0.5,False,33.28289430702125,16.641447153510626,33.28289430702125,33.28289430702125,49,False,Azerbaijan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CZE,"['Czech', 'Slovak']",10882341,87.6878,2024,2025 Q1 P,246000.0,108.0,7.036722330474317,0.8768779999999999,5.390935107103379,5.390935107103379,1.1,False,33.26394028526541,36.590334313791956,33.26394028526541,33.26394028526541,50,False,Czechia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BHR,['Arabic'],1594654,100.0,2024,,,,6.202666466583464,1.0,,5.334453751150931,0.5,False,33.08783739980425,16.543918699902125,33.08783739980425,33.08783739980425,51,False,Bahrain,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
UKR,['Ukrainian'],32862000,82.3755,2023,,,,7.516693991312429,0.823755,,5.334453751150931,0.5,False,33.03048024473298,16.51524012236649,33.03048024473298,33.03048024473298,52,False,Ukraine,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PER,"['Aymara', 'Quechua', 'Spanish']",34350244,81.9571,2024,,,,7.535929826329404,0.8195709999999999,,5.334453751150931,1.1,False,32.946810857330945,36.24149194306404,32.946810857330945,32.946810857330945,53,False,Peru,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
IDN,['Indonesian'],284438782,72.7808,2024,,,,8.453988810272648,0.727808,,5.334453751150931,0.5,False,32.822257466629296,16.411128733314648,32.822257466629296,32.822257466629296,54,False,Indonesia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
LBY,['Arabic'],7459000,88.4989,2023,,,,6.8726806071519295,0.884989,,5.334453751150931,0.5,False,32.445463926110925,16.222731963055463,32.445463926110925,32.445463926110925,55,False,Libya,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
KGZ,"['Kyrgyz', 'Russian']",7281800,88.4701,2023,,,,6.86223874654393,0.8847010000000001,,5.334453751150931,0.5,False,32.38562598990155,16.192812994950774,32.38562598990155,32.38562598990155,56,False,Kyrgyzstan,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
URY,['Spanish'],3499451,91.9911,2024,,,,6.543999916815401,0.919911,,5.334453751150931,1.1,False,32.11286484030787,35.324151324338665,32.11286484030787,32.11286484030787,57,False,Uruguay,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
EGY,['Arabic'],107271260,72.6899,2023,2025 Q2 P,303000.0,392.0,8.030483381842073,0.726899,5.481442628502305,5.481442628502305,0.5,False,31.997100989959463,15.998550494979732,31.997100989959463,31.997100989959463,58,False,Egypt,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SRB,['Serbian'],6567783,87.6907,2024,,,,6.81741879522901,0.8769070000000001,,5.334453751150931,1.1,False,31.890656867645294,35.07972255440983,31.890656867645294,31.890656867645294,59,False,Serbia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
COL,['Spanish'],53057212,77.3369,2023,,,,7.724744425351789,0.773369,,5.334453751150931,1.1,False,31.868442111236998,35.0552863223607,31.868442111236998,31.868442111236998,60,False,Colombia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
DZA,['Arabic'],47400000,76.9081,2023,,,,7.675778341674085,0.769081,,5.334453751150931,0.5,False,31.49085566544696,15.74542783272348,31.49085566544696,31.49085566544696,61,False,Algeria,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CYP,"['Greek', 'Turkish']",1442614,91.2211,2023,2025 Q2 P,400000.0,364.0,6.159150142531189,0.9122110000000001,5.6020599913279625,5.6020599913279625,0.5,False,31.474863206712325,15.737431603356162,31.474863206712325,31.474863206712325,62,False,Cyprus,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
FIN,"['Finnish', 'Swedish']",5650325,93.5139,2023,2025 Q2 P,86000.0,70.0,6.752073428641965,0.935139,4.9344984512435675,4.9344984512435675,1.1,False,31.157050859682847,34.272755945651134,31.157050859682847,31.157050859682847,63,False,Finland,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PSE,['Arabic'],5483450,86.6377,2023,,,,6.739053887776157,0.866377,,5.334453751150931,0.5,False,31.14553517545776,15.57276758772888,31.14553517545776,31.14553517545776,64,False,"Palestine, State of",,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
NZL,"['English', 'Māori', 'New Zealand Sign Language']",5324700,96.1638,2023,2025 Q1 P,65000.0,121.0,6.726295144126775,0.961638,4.812913356642856,4.812913356642856,1.5,False,31.131179808356084,46.69676971253413,31.131179808356084,31.131179808356084,65,False,New Zealand,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
LVA,['Latvian'],1829000,92.7076,2024,,,,6.262213705476417,0.927076,,5.334453751150931,1.1,False,30.969427483288026,34.06637023161683,30.969427483288026,30.969427483288026,66,False,Latvia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ZAF,"['Afrikaans', 'English', 'Southern Ndebele', 'Northern Sotho', 'Southern Sotho', 'Swazi', 'Tswana', 'Tsonga', 'Venda', 'Xhosa', 'Zulu']",63100945,75.6592,2023,2025 Q1 P,166000.0,223.0,7.800035863288702,0.7565919999999999,5.220108088040055,5.220108088040055,1.5,False,30.806179386434412,46.20926907965162,30.806179386434412,30.806179386434412,67,False,South Africa,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SVN,['Slovene'],2130638,90.7636,2024,,,,6.328509668410944,0.907636,,5.334453751150931,0.5,False,30.641012735244615,15.320506367622308,30.641012735244615,30.641012735244615,68,False,Slovenia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
CRI,['Spanish'],5309625,85.3951,2023,,,,6.725063849484161,0.853951,,5.334453751150931,1.1,False,30.635101082571346,33.69861119082848,30.635101082571346,30.635101082571346,69,False,Costa Rica,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ISR,"['Arabic', 'Hebrew']",10134800,88.1824,2024,2025 Q2 P,87000.0,94.0,7.00581518275242,0.881824,4.939519252618618,4.939519252618618,0.5,False,30.5158360732055,15.25791803660275,30.5158360732055,30.5158360732055,70,False,Israel,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PRI,"['English', 'Spanish']",3203295,87.2918,2022,,,,6.505596935845423,0.872918,,5.334453751150931,1.5,False,30.29357690661356,45.440365359920335,30.29357690661356,30.29357690661356,71,False,Puerto Rico,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
EST,['Estonian'],1369995,92.238,2024,,,,6.1367189821371575,0.92238,,5.334453751150931,1.1,False,30.195071890252795,33.214579079278074,30.195071890252795,30.195071890252795,72,False,Estonia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
SVK,['Slovak'],5413813,89.8251,2024,2025 Q1 P,97000.0,37.0,6.733503250608721,0.898251,4.986771734266245,4.986771734266245,1.1,False,30.16187061645182,33.178057678097005,30.16187061645182,30.16187061645182,73,False,Slovakia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
LBN,"['Arabic', 'French']",5490000,83.4933,2023,,,,6.739572344450092,0.834933,,5.334453751150931,1.1,False,30.017458593516807,33.01920445286849,30.017458593516807,30.017458593516807,74,False,Lebanon,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BIH,"['Bosnian', 'Croatian', 'Serbian']",3422000,86.1009,2024,,,,6.534280005205082,0.8610089999999999,,5.334453751150931,1.1,False,30.01203098277482,33.0132340810523,30.01203098277482,30.01203098277482,75,False,Bosnia and Herzegovina,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BRN,['Malay'],455500,99.0336,2023,,,,5.658488381309017,0.9903360000000001,,5.334453751150931,0.5,False,29.893237267178698,14.946618633589349,29.893237267178698,29.893237267178698,76,False,Brunei Darussalam,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ECU,['Spanish'],18103660,77.1727,2024,,,,7.257766384654669,0.771727,,5.334453751150931,1.1,False,29.87835162942328,32.86618679236561,29.87835162942328,29.87835162942328,77,False,Ecuador,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ISL,['Icelandic'],391810,99.8301,2023,,,,5.593075516113534,0.998301,,5.334453751150931,1.1,False,29.78531129887035,32.763842428757386,29.78531129887035,29.78531129887035,78,False,Iceland,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
LTU,['Lithuanian'],2894886,88.5029,2023,2025 Q1 P,161000.0,63.0,6.461631465975109,0.885029,5.20682587603185,5.20682587603185,1.1,False,29.77643777091005,32.75408154800106,29.77643777091005,29.77643777091005,79,False,Lithuania,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
IND,"['English', 'Hindi', 'Tamil']",1417492000,55.9,2022,2025 Q1 P,619000.0,602.0,9.151520616513332,0.5589999999999999,5.791690649020118,5.791690649020118,1.5,False,29.628551995847076,44.442827993770614,29.628551995847076,29.628551995847076,80,False,India,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
PRY,"['Guaraní', 'Spanish']",6109644,81.5781,2024,,,,6.786015905276943,0.8157810000000001,,5.334453751150931,1.1,False,29.53101767736769,32.48411944510446,29.53101767736769,29.53101767736769,81,False,Paraguay,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
HRV,['Croatian'],3866233,83.6324,2024,,,,6.587288023403108,0.8363240000000001,,5.334453751150931,1.1,False,29.38807686910346,32.32688455601381,29.38807686910346,29.38807686910346,82,False,Croatia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
MKD,['Macedonian'],1822612,87.1819,2023,,,,6.260694225323314,0.871819,,5.334453751150931,0.5,False,29.11647374284714,14.55823687142357,29.11647374284714,29.11647374284714,83,False,North Macedonia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
RUS,['Russian'],146028325,94.365,2024,2025 Q2 P,6000.0,2.0,8.164437103716473,0.94365,3.7781512503836434,3.7781512503836434,0.5,False,29.108279202580015,14.554139601290007,29.108279202580015,29.108279202580015,84,False,Russian Federation,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BGR,['Bulgarian'],6437360,82.439,2024,2025 Q1 P,151000.0,76.0,6.808707797095676,0.82439,5.17897694729317,5.17897694729317,0.5,False,29.06975618982093,14.534878094910464,29.06975618982093,29.06975618982093,85,False,Bulgaria,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
MNG,['Mongolian'],3544835,83.0162,2023,,,,6.549596025060067,0.830162,,5.334453751150931,0.5,False,29.00462921982374,14.50231460991187,29.00462921982374,29.00462921982374,86,False,Mongolia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
GEO,['Georgian'],4000921,81.8843,2023,,,,6.602159976122113,0.818843,,5.334453751150931,0.5,False,28.838763694237755,14.419381847118878,28.838763694237755,28.838763694237755,87,False,Georgia,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,2025 Q2 P,83000.0,76.0,6.4511020746169,0.89473,4.919078092376074,4.919078092376074,1.5,False,28.39289198558273,42.58933797837409,28.39289198558273,28.39289198558273,88,False,Jamaica,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
BHS,['English'],398165,94.8186,2023,,,,5.600063081470082,0.9481860000000001,,5.334453751150931,1.5,False,28.325423510642327,42.48813526596349,28.325423510642327,28.325423510642327,89,False,Bahamas,,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
ALB,['Albanian'],2363314,83.1356,2023,,,,6.373521427687243,0.831356,,5.334453751150931,1.1,False,28.265484879183134,31.09203336710145,28.265484879183134,28.265484879183134,90,True,Albania,Albania,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
GHA,['English'],33742380,69.9445,2023,,,,7.52817571205314,0.6994450000000001,,5.334453751150931,1.5,False,28.088805535172245,42.13320830275837,28.088805535172245,28.088805535172245,91,True,Ghana,Ghana,25-05-2025,False,no-lang,no-lang_20251219T110925Z,no-language
