trial,seed,seeds,seed_start,eng,euro,other,uk_missing,uk_floor,zone_start,zone_end,wrong_at_rank_test_mean,wrong_at_rank_test_median,wrong_at_rank_train_mean,incorrect_zone_closeness_test_mean,incorrect_zone_closeness_test_median,incorrect_zone_closeness_train_mean,correct_zone_closeness_test_mean,correct_zone_closeness_test_median,correct_zone_closeness_train_mean,correct_overlap_test_mean,correct_overlap_train_mean,incorrect_count,correct_count
76,1,20,0,1.1701426175009941,0.9873645862233404,0.9337099117934513,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.06699936759308357,0.060045923606970114,0.07174301737125174,0.08428132992327365,0.10980392156862745,0.06726172208013641,0.0,0.0,26,4
77,1,20,0,1.3019912644458556,1.1862922371516569,0.9436325523584814,p10,0.05,90.0,95.0,0.004736842105263157,0.0,0.005789473684210527,0.13517798503766246,0.0956252036493972,0.11480007506191779,0.08056818181818182,0.09545454545454546,0.07625000000000001,0.0,0.0,26,4
78,1,20,0,1.0676729886977265,1.0653511422207649,0.5521374990073068,p10,0.05,90.0,95.0,0.0037234042553191487,0.0,0.006914893617021276,0.08175568915898128,0.03402102707143079,0.07539828487412621,0.07586309523809524,0.06904761904761905,0.0806845238095238,0.0,0.0,26,4
79,1,20,0,1.0195688992984553,0.933084178683286,0.9219580256497045,p10,0.05,90.0,95.0,0.009592726033399872,0.010638297872340425,0.02244145284580554,0.18810740869135278,0.2092374342670883,0.18812942490738122,0.08909539473684211,0.11041666666666668,0.07263706140350877,0.0,0.0,26,4
80,1,20,0,1.3940582243626132,1.148551791440734,0.6704487320582917,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03326703616098914,0.03537854204127169,0.029793772574556364,0.2137797619047619,0.1875,0.23800595238095237,0.0,0.0,26,4
81,1,20,0,1.3075930162795184,1.1345710804898264,0.6890198144191937,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03276533477821492,0.032496690401500036,0.029932572801991894,0.11875,0.10416666666666666,0.12893518518518518,0.0,0.0,26,4
82,1,20,0,1.2853907627995116,0.9671142218246308,0.5408716311761969,p10,0.05,90.0,95.0,0.002150537634408602,0.0,0.008602150537634409,0.07025178171817072,0.05430851695563285,0.08538179894788865,0.49001245847176084,0.5116279069767442,0.5394725913621262,0.95,1.05,26,4
83,1,20,0,1.1672304383565915,1.133361821490868,0.7822234166200988,p10,0.05,90.0,95.0,0.007484094852515905,0.010526315789473684,0.014031231925968769,0.14913276852818516,0.181870927420463,0.1267027038115176,0.14636123680241328,0.12179487179487179,0.15680618401206636,0.0,0.0,26,4
84,1,20,0,1.4625336010542367,1.0373307777123735,0.6385913830538492,p10,0.05,90.0,95.0,0.007089106545628285,0.010869565217391304,0.01476946966077401,0.12885538359432055,0.16107318730254477,0.11600525585269313,0.12008741258741258,0.12459207459207458,0.1290967365967366,0.0,0.0,26,4
85,1,20,0,1.3935073317801643,1.1483304469937188,0.5061908722433333,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.029979174565790176,0.024022209895022177,0.031648326207806055,0.08452288810260947,0.08458646616541353,0.09197534276868642,0.0,0.0,26,4
86,1,20,0,1.3352058195119656,0.9275049367849554,0.5575512492139636,p10,0.05,90.0,95.0,0.0048913043478260865,0.0,0.005978260869565218,0.11202015077101395,0.09110302444895235,0.08682025648488478,0.2128992628992629,0.22077190827190826,0.22864455364455363,0.0,0.0,26,4
87,1,20,0,1.4425300351898305,0.9120070610670494,0.6198166824337547,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.040158695401863224,0.040720848933332526,0.035253637385096306,0.037494997999199677,0.03832644168778622,0.03915788537637277,0.0,0.0,26,4
88,1,20,0,1.4940792493030164,1.0263040762290803,0.5577790902961366,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.10004721639639096,0.040139388450125005,0.06573240387886593,0.2137798036465638,0.22183263207106124,0.22988546049555866,0.0,0.0,26,4
89,1,20,0,1.0836917187306658,0.972426085529353,0.8720032082685042,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.0654548857646749,0.06802881430268162,0.06337595347510468,0.3280015197568389,0.5106382978723404,0.23144630192502533,0.6,0.4,26,4
90,1,20,0,1.1732293254838,1.051417072993155,0.689138635272113,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04157229531407244,0.040841480337433886,0.03727030217827796,0.12613636363636366,0.12272727272727274,0.13547979797979798,0.0,0.0,26,4
91,1,20,0,1.4851320182641052,1.1727668184452134,0.6470117924742739,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.033737464712258,0.03765741888782369,0.030969951938967157,0.49209968186638386,0.5121951219512195,0.5418345705196183,0.95,1.05,26,4
92,1,20,0,1.1267050680205632,1.0431030287916803,0.550064571975226,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04161776246926224,0.027144709002934732,0.03850536426171101,0.0737987012987013,0.07083333333333333,0.0782034632034632,0.0,0.0,26,4
93,1,20,0,1.3260250997447085,0.9118860640241113,0.5052530757593361,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.1008503532808243,0.043357132423887265,0.06718505871922076,0.19517473118279569,0.20112007168458781,0.20706541218637992,0.0,0.0,26,4
94,1,20,0,1.4912918132752317,0.9886649580146754,0.7982853215942207,p10,0.05,90.0,95.0,0.004736842105263157,0.0,0.005789473684210527,0.12832909934521156,0.1057221210989472,0.10441976302008965,0.026318142035508876,0.0277569392348087,0.026438797199299823,0.0,0.0,26,4
95,1,20,0,1.2249222673150488,0.9939842583206784,0.5314823950238227,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.029564426938178595,0.029484236408939248,0.028120184699671844,0.1939423076923077,0.15,0.21887820512820513,0.0,0.0,26,4
96,1,20,0,1.4566960085829703,1.1909439830514346,0.984898252248235,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07530433047328093,0.05395888833388833,0.09028688375321253,0.03962218045112782,0.04285714285714286,0.039550751879699246,0.0,0.0,26,4
97,1,20,0,1.055681155063446,0.9645579810108296,0.8089034400057779,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.056521359216916735,0.05605272409766286,0.05395153944310701,0.143254662004662,0.178030303030303,0.11490384615384615,0.0,0.0,26,4
98,1,20,0,1.4899764429450384,1.0628739592454146,0.8440949040238563,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.11837412322730977,0.07464735772357722,0.08422438968084604,0.030641264606781852,0.032744282744282746,0.030723707792673312,0.0,0.0,26,4
99,1,20,0,1.3309172144376746,0.9777257975560936,0.7708011314564828,p10,0.05,90.0,95.0,0.004945054945054946,0.0,0.006043956043956044,0.12352052245456524,0.09106615148269741,0.08904674981405718,0.03272605481657206,0.03434684684684684,0.03296875441271993,0.0,0.0,26,4
