alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_visits_missing,uk_score_raw,uk_missing_strategy,uk_floor,uk_impute_value,uk_score_raw_imputed,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,known_correct,known_incorrect,run_label,run_id,model_variant,uk_missing_strategy_cli,uk_floor_cli
VNM,['Vietnamese'],101343800,84.15,2024,,,,8.005797184621029,0.8415,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.5608345625329316,1.2804172812664658,2.5608345625329316,2.5608345625329316,48,False,Viet Nam,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
KWT,['Arabic'],4881254,99.7473,2023,,,,6.688531407109154,0.9974729999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.536032052656966,1.268016026328483,2.536032052656966,2.536032052656966,49,False,Kuwait,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
HKG,"['English', 'Chinese']",7527500,95.9778,2023,,,,6.876650764184797,0.959778,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.5088262116445152,3.763239317466773,2.5088262116445152,2.5088262116445152,50,False,Hong Kong,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BLR,"['Belarusian', 'Russian']",9109280,94.2618,2024,,,,6.959484051574066,0.942618,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.493650539369199,1.2468252696845994,2.493650539369199,2.493650539369199,51,False,Belarus,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
JOR,['Arabic'],11734000,92.5344,2023,,,,7.069446083880313,0.925344,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.486631429749247,1.2433157148746234,2.486631429749247,2.486631429749247,52,False,Jordan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
IRL,"['English', 'Irish']",5458600,96.4974,2023,,,,6.7370812708662235,0.964974,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.4712132111008422,3.7068198166512634,2.4712132111008422,2.4712132111008422,53,False,Ireland,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
QAT,['Arabic'],3173024,99.6528,2023,,,,6.501473357013159,0.996528,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.4627714574691932,1.2313857287345966,2.4627714574691932,2.4627714574691932,54,False,Qatar,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
NZL,"['English', 'Māori', 'New Zealand Sign Language']",5324700,96.1638,2023,2025 Q1 P,65000.0,121.0,6.726295144126775,0.961638,False,4.812920038045028,p10,0.05,4.815572229111593,4.812920038045028,0.3792778132687557,1.5,False,2.4532678914514494,3.679901837177174,2.4532678914514494,2.4532678914514494,55,False,New Zealand,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
OMN,['Arabic'],5343630,95.2517,2024,,,,6.727836379384905,0.952517,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.4359646129238213,1.2179823064619106,2.4359646129238213,2.4359646129238213,56,False,Oman,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
SGP,"['English', 'Chinese', 'Malay', 'Tamil']",6110200,94.3776,2024,,,,6.786055425868549,0.9437760000000001,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.5,False,2.4344964763461063,3.6517447145191593,2.4344964763461063,2.4344964763461063,57,False,Singapore,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
DOM,['Spanish'],10771504,91.0022,2024,,,,7.032276347058217,0.910022,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,1.1,False,2.432599645688619,2.6758596102574814,2.432599645688619,2.432599645688619,58,False,Dominican Republic,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
IRN,['Persian (Farsi)'],85961000,79.6309,2023,,,,7.934301459075755,0.7963089999999999,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.4016689321746854,1.2008344660873427,2.4016689321746854,2.4016689321746854,59,False,"Iran, Islamic Republic of",,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
JAM,"['English', 'Jamaican Patois']",2825544,89.473,2023,2025 Q2 P,83000.0,76.0,6.4511020746169,0.89473,False,4.919083324808191,p10,0.05,4.815572229111593,4.919083324808191,0.4130628100405039,1.5,False,2.3841962921707305,3.5762944382560957,2.3841962921707305,2.3841962921707305,60,False,Jamaica,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
IRQ,"['Arabic', 'Aramaic', 'Sorani']",46118793,81.7291,2023,,,,7.663877932614442,0.817291,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3809381511227303,1.1904690755613652,2.3809381511227303,2.3809381511227303,61,False,Iraq,,25-05-2025,False,False,True,out,out_20251219T115521Z,no-language,p10,0.05
AZE,['Azerbaijani'],10241722,89.0,2023,,,,7.010372983224158,0.89,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.371668308304684,1.185834154152342,2.371668308304684,2.371668308304684,62,False,Azerbaijan,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
BHR,['Arabic'],1594654,100.0,2024,,,,6.202666466583464,1.0,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3577689676735747,1.1788844838367873,2.3577689676735747,2.3577689676735747,63,False,Bahrain,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
UKR,['Ukrainian'],32862000,82.3755,2023,,,,7.516693991312429,0.823755,True,,p10,0.05,4.815572229111593,4.815572229111593,0.3801218363708463,0.5,False,2.3536818187110415,1.1768409093555208,2.3536818187110415,2.3536818187110415,64,False,Ukraine,,25-05-2025,False,False,False,out,out_20251219T115521Z,no-language,p10,0.05
