alpha_3,languages,population,internet_usage_pct,internet_usage_record_year,uk_visits_period,uk_visits_number,uk_spending_millions,pop_score,net_score,uk_score_raw,uk_score,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,seen_in_listens,run_label,run_id,model_variant
KOR,['Korean'],51159889,97.8956,2024,,,,7.708929593532578,0.978956,,5.334453751150931,0.5,True,40.25753748259009,20.128768741295044,40.25753748259009,20.128768741295044,119,False,"Korea, Republic of",,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
SLB,['English'],750325,42.4597,2023,,,,5.875249416903541,0.424597,,5.334453751150931,1.5,True,13.307399151397822,19.961098727096733,13.307399151397822,19.961098727096733,120,False,Solomon Islands,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
AGO,['Portuguese'],36170961,44.7581,2023,,,,7.558360047369661,0.447581,,5.334453751150931,1.1,True,18.04634154048077,19.85097569452885,18.04634154048077,19.85097569452885,121,False,Angola,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ARE,['Arabic'],11294243,100.0,2024,2025 Q1 P,371000.0,540.0,7.052857127514885,1.0,5.569373909615046,5.569373909615046,0.5,True,39.27999847422392,19.63999923711196,39.27999847422392,19.63999923711196,122,False,United Arab Emirates,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
RWA,"['English', 'French', 'Kinyarwanda']",14104969,34.2005,2023,,,,7.14937213599697,0.342005,,5.334453751150931,1.5,True,13.043384983136145,19.565077474704218,13.043384983136145,19.565077474704218,123,False,Rwanda,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
ZMB,['English'],19693423,33.0,2023,,,,7.294321209322918,0.33,,5.334453751150931,1.5,True,12.840702315266903,19.261053472900354,12.840702315266903,19.261053472900354,124,False,Zambia,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
THA,['Thai'],65859640,90.8672,2024,2025 Q1 P,255000.0,461.0,7.818619352454832,0.9086719999999999,5.4065401804339555,5.4065401804339555,0.5,True,38.41109172233356,19.20554586116678,38.41109172233356,19.20554586116678,125,False,Thailand,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
STP,['Portuguese'],209607,61.4607,2023,,,,5.321405782179103,0.614607,,5.334453751150931,1.1,True,17.446721707563864,19.191393878320252,17.446721707563864,19.191393878320252,126,False,Sao Tome and Principe,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
MAR,"['Arabic', 'Berber']",36828330,91.0,2023,2025 Q1 P,284000.0,213.0,7.566182025989628,0.91,5.453318340047038,5.453318340047038,0.5,True,37.54732727788178,18.77366363894089,37.54732727788178,18.77366363894089,127,False,Morocco,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
GRC,['Greek'],10400720,86.2697,2024,2025 Q2 P,1580000.0,1670.0,7.017063404799118,0.862697,6.198657086954422,6.198657086954422,0.5,True,37.52418774060002,18.76209387030001,37.52418774060002,18.76209387030001,128,False,Greece,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
TUR,['Turkish'],85664944,87.3079,2024,,,,7.932803135318054,0.873079,,5.334453751150931,0.5,True,36.94623372570612,18.47311686285306,36.94623372570612,18.47311686285306,129,False,Türkiye,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
TZA,"['English', 'Swahili']",68153004,29.0638,2023,,,,7.833485003118178,0.290638,,5.334453751150931,1.5,True,12.144995741132956,18.21749361169943,12.144995741132956,18.21749361169943,130,False,"Tanzania, United Republic of",,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
KAZ,"['Kazakh', 'Russian']",20426568,93.3917,2024,,,,7.310195404132739,0.933917,,5.334453751150931,0.5,True,36.41893328209601,18.209466641048007,36.41893328209601,18.209466641048007,131,False,Kazakhstan,,25-05-2025,False,with-lang,with-lang_20251219T111037Z,with-language
